household_ID,district,campaign,Strategy,Ward,Village,Sub-village,dog_total,dog_vacc_status (owner),number_dogs_seen,microchip_scanned_dogs_yes(microchip),dogs_vacc_cert (Cert)
RCT0388,Tarime,pulse,0,Nyamwaga,Gwitare,Nyamiobo,1,1,1,1,1
RCT0422,Tarime,pulse,0,Nyamwaga,Keisangora,Gonyi,1,0,1,0,0
RCT0386,Tarime,pulse,0,Nyamwaga,Gwitare,Nyamiobo,1,1,1,1,1
RCT0384,Tarime,pulse,0,Nyamwaga,Gwitare,Nyamiobo,1,0,1,0,0
RCT0383,Tarime,pulse,0,Nyamwaga,Gwitare,Nyamiobo,1,0,1,0,0
RCT0382,Tarime,pulse,0,Nyamwaga,Gwitare,Nyamiobo,1,1,1,1,1
RCT0381,Tarime,pulse,0,Nyamwaga,Gwitare,Nyamiobo,1,0,1,0,0
RCT0474,Tarime,pulse,0,Nyamwaga,Komera,Komera Senta,1,0,0,0,0
RCT0473,Tarime,pulse,0,Nyamwaga,Komera,Komera Senta,1,0,1,0,0
RCT0471,Tarime,pulse,0,Nyamwaga,Komera,Komera Senta,1,0,1,0,0
