household_ID,campaign_type,Strategy,RegionName.y,district,ward,village,sub_village,dog_total,number_dogs_seen,owner_recall_vacc,owner_recall_vacc_no,owner_recall_not_vacc_no,vacc_card_status,microchip_scanned_dogs_yes,microchip_scanned_dogs_no,vacc_dog_no_chip_status,dogs_vacc_cert,,variable,meaning
RCT0091,continuous,2,Mara,0,5,10,60,2,2,1,1,1,1,1,NA,no,1,,,
RCT0740,continuous,2,Mara,2,8,28,42,2,2,1,2,0,1,2,NA,no,2,,,
RCT0739,continuous,2,Mara,2,8,28,42,1,1,0,NA,1,,0,NA,,NA,,,
RCT0738,continuous,2,Mara,2,8,28,42,7,7,1,3,4,1,3,NA,no,3,,,
RCT0737,continuous,2,Mara,2,8,28,42,4,4,1,1,3,1,1,NA,no,1,,,
RCT0736,continuous,2,Mara,2,8,28,42,3,3,1,2,1,1,2,NA,no,2,,,
RCT0735,continuous,2,Mara,2,8,28,42,4,4,1,4,0,1,4,NA,no,4,,,
RCT0734,continuous,2,Mara,2,8,28,42,1,1,0,NA,1,,0,NA,,NA,,,
RCT0733,continuous,2,Mara,2,8,28,42,1,1,0,NA,1,,0,NA,,NA,,,
RCT0732,continuous,2,Mara,2,8,28,42,5,5,1,3,2,1,3,NA,no,3,,,
RCT0731,continuous,2,Mara,2,8,28,42,2,2,1,2,0,1,2,NA,no,2,,,
RCT0760,continuous,2,Mara,2,8,30,112,1,1,1,1,0,1,1,NA,no,1,,,
RCT0759,continuous,2,Mara,2,8,30,112,1,1,1,1,0,1,1,NA,no,1,,,
RCT0758,continuous,2,Mara,2,8,30,112,3,3,1,2,1,1,2,NA,no,2,,,
RCT0757,continuous,2,Mara,2,8,30,112,3,3,1,2,1,1,2,NA,no,1,,,
RCT0756,continuous,2,Mara,2,8,30,112,2,2,0,NA,2,,0,NA,,NA,,,
RCT0755,continuous,2,Mara,2,8,30,112,3,3,1,1,2,1,1,NA,no,1,,,
RCT0754,continuous,2,Mara,2,8,30,112,4,4,1,3,1,1,3,NA,no,3,,,
RCT0753,continuous,2,Mara,2,8,30,112,4,4,1,3,1,1,3,NA,no,3,,,
RCT0752,continuous,2,Mara,2,8,30,112,2,2,1,2,0,1,2,NA,no,2,,,
RCT0751,continuous,2,Mara,2,8,30,112,3,3,1,1,2,1,1,NA,no,1,,,
RCT0750,continuous,2,Mara,2,8,30,43,3,3,1,1,2,1,1,NA,no,1,,,
RCT0749,continuous,2,Mara,2,8,30,43,4,4,1,2,2,1,2,NA,no,2,,,
RCT0748,continuous,2,Mara,2,8,30,43,2,2,1,2,0,1,2,NA,no,2,,,
RCT0747,continuous,2,Mara,2,8,30,43,2,2,1,2,0,1,2,NA,no,2,,,
RCT0746,continuous,2,Mara,2,8,30,43,2,2,1,2,0,1,2,NA,no,2,,,
RCT0745,continuous,2,Mara,2,8,30,43,1,1,0,NA,1,,0,NA,,NA,,,
RCT0744,continuous,2,Mara,2,8,30,43,1,1,0,NA,1,,0,NA,,NA,,,
RCT0743,continuous,2,Mara,2,8,30,43,4,4,0,NA,4,,0,NA,,NA,,,
RCT0742,continuous,2,Mara,2,8,30,43,2,2,1,1,1,1,1,NA,no,1,,,
RCT0741,continuous,2,Mara,2,8,30,43,2,2,1,1,1,1,1,NA,no,1,,,
RCT0180,continuous,3,Mara,0,2,5,128,2,2,1,2,0,1,2,NA,no,2,,,
RCT0179,continuous,3,Mara,0,2,5,128,1,1,1,1,0,1,1,NA,no,1,,,
RCT0178,continuous,3,Mara,0,2,5,128,1,1,1,1,0,1,1,NA,no,1,,,
RCT0177,continuous,3,Mara,0,2,5,128,1,1,1,1,0,1,1,NA,no,1,,,
RCT0176,continuous,3,Mara,0,2,5,128,3,3,1,3,0,1,3,NA,no,3,,,
RCT0175,continuous,3,Mara,0,2,5,128,4,4,1,1,3,1,1,NA,no,1,,,
RCT0174,continuous,3,Mara,0,2,5,128,1,1,1,1,0,1,1,NA,no,1,,,
RCT0173,continuous,3,Mara,0,2,5,128,5,1,1,1,4,1,1,NA,no,1,,,
RCT0172,continuous,3,Mara,0,2,5,128,1,1,1,1,0,1,1,NA,no,1,,,
RCT0171,continuous,3,Mara,0,2,5,128,1,1,1,1,0,1,1,NA,no,1,,,
RCT0170,continuous,3,Mara,0,2,5,93,3,3,0,NA,3,,0,NA,,NA,,,
RCT0169,continuous,3,Mara,0,2,5,93,2,2,1,2,0,1,2,NA,no,2,,,
RCT0168,continuous,3,Mara,0,2,5,93,2,2,0,NA,2,,0,NA,,NA,,,
RCT0167,continuous,3,Mara,0,2,5,93,1,1,1,1,0,1,1,NA,no,1,,,
RCT0166,continuous,3,Mara,0,2,5,93,1,1,1,1,0,1,1,NA,no,1,,,
RCT0165,continuous,3,Mara,0,2,5,93,1,1,0,NA,1,,0,NA,,NA,,,
RCT0164,continuous,3,Mara,0,2,5,93,1,1,1,1,0,1,1,NA,no,1,,,
RCT0163,continuous,3,Mara,0,2,5,93,1,1,1,1,0,1,1,NA,no,1,,,
RCT0162,continuous,3,Mara,0,2,5,93,5,2,1,2,3,1,2,NA,no,2,,,
RCT0161,continuous,3,Mara,0,2,5,93,2,2,1,1,1,1,1,NA,no,2,,,
RCT0160,continuous,3,Mara,0,2,5,12,3,1,1,1,2,1,1,NA,no,1,,,
RCT0159,continuous,3,Mara,0,2,5,12,2,1,1,1,1,1,1,NA,no,1,,,
RCT0158,continuous,3,Mara,0,2,5,12,1,1,1,1,0,1,1,NA,no,1,,,
RCT0157,continuous,3,Mara,0,2,5,12,2,1,1,1,1,1,1,NA,no,1,,,
RCT0156,continuous,3,Mara,0,2,5,12,1,1,1,1,0,1,1,NA,no,1,,,
RCT0155,continuous,3,Mara,0,2,5,12,2,2,1,2,0,1,2,NA,no,2,,,
RCT0154,continuous,3,Mara,0,2,5,12,1,1,1,1,0,1,1,NA,no,1,,,
RCT0153,continuous,3,Mara,0,2,5,12,3,1,1,1,2,1,1,NA,no,1,,,
RCT0152,continuous,3,Mara,0,2,5,12,2,2,1,2,0,1,2,NA,no,2,,,
RCT0151,continuous,3,Mara,0,2,5,12,3,3,1,3,0,1,3,NA,no,3,,,
RCT0770,continuous,2,Mara,2,8,30,39,1,1,1,1,0,1,1,NA,no,1,,,
RCT0769,continuous,2,Mara,2,8,30,39,6,6,1,6,0,1,6,NA,no,6,,,
RCT0768,continuous,2,Mara,2,8,30,39,1,1,1,1,0,1,1,NA,no,1,,,
RCT0767,continuous,2,Mara,2,8,30,39,3,3,1,3,0,1,3,NA,no,3,,,
RCT0766,continuous,2,Mara,2,8,30,39,3,3,1,2,1,1,2,NA,no,2,,,
RCT0765,continuous,2,Mara,2,8,30,39,1,1,0,NA,1,,8,NA,,NA,,,
RCT0764,continuous,2,Mara,2,8,30,39,3,3,1,2,1,1,2,NA,no,2,,,
